startYear,category,low_age,med_age,high_age
1983,actress,23,28,37
1984,actor,32,40,47
1984,actress,22,30,38.75
1985,actor,30,38,45.75
1985,actress,22,29,36
1986,actor,31,39,49
1986,actress,24,30,39
1987,actor,31,39,48
1987,actress,26,32,40
1988,actor,30,38,48
1988,actress,25,29,36
1989,actor,32,39,48
1989,actress,24,27,34.75
1990,actor,31,40,48
1990,actress,25,30,39
1991,actor,31,39,47.5
1991,actress,25,31,40.25
1992,actor,30,38,48
1992,actress,26,32,41
1993,actor,31,38,47
1993,actress,26,31,40
1994,actor,31,39,49
1994,actress,26,32,40
1995,actor,31,38,49
1995,actress,25,30,38
1996,actor,31,37,47
1996,actress,24,30,43
1997,actor,30,36,49
1997,actress,25,30,35
1998,actor,29,37,48
1998,actress,26,31,41
1999,actor,30,37,47
1999,actress,26,31,37
2000,actor,30,37,47
2000,actress,26,33,42.5
2001,actor,31,38,47
2001,actress,25.25,32,39.75
2002,actor,29,37,46
2002,actress,26,30.5,39
2003,actor,29,37,48
2003,actress,24,31,39
2004,actor,30,37,47
2004,actress,25,32,40
2005,actor,30,37,47
2005,actress,26,32,39
2006,actor,30,39,51
2006,actress,24,31,41
2007,actor,30,38,49
2007,actress,27,33,40
2008,actor,30,38,49
2008,actress,25,30,39.25
2009,actor,31,38,49
2009,actress,25,32,41
2010,actor,31,38.5,51
2010,actress,26,32,40
2011,actor,31,40,51
2011,actress,26.75,33,42
2012,actor,32,40,50
2012,actress,27,33,43
2013,actor,32,40,51
2013,actress,27,33,42
2014,actor,33,42,53
2014,actress,27,33,43
2015,actor,33,41,52
2015,actress,28,34,45
2016,actor,33,42,54
2016,actress,29,35,46
2017,actor,34,43,53
2017,actress,29,35,45
2018,actor,35,44,55
2018,actress,29.5,36,45
2019,actor,37,47,57
2019,actress,30,37,47
2020,actor,36,46,57
2020,actress,30,37,47
2021,actor,39,48,58
2021,actress,31,38,47
NA,actor,NA,NA,NA
